Library,month,issues
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-01,303
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-02,197
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-03,314
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-04,200
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-05,238
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-06,451
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-07,377
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-08,244
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-09,245
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-10,247
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-11,233
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-12,147
http://datadock.io/kal/data/id/resource/library/Blakelaw,2016-01,208
http://datadock.io/kal/data/id/resource/library/Blakelaw,2016-02,61
http://datadock.io/kal/data/id/resource/library/Blakelaw,2016-03,245
http://datadock.io/kal/data/id/resource/library/Blakelaw,2016-04,253
http://datadock.io/kal/data/id/resource/library/Blakelaw,2016-05,245
http://datadock.io/kal/data/id/resource/library/Blakelaw,2016-06,196
http://datadock.io/kal/data/id/resource/library/Blakelaw,2016-07,357
http://datadock.io/kal/data/id/resource/library/Blakelaw,2016-08,323
http://datadock.io/kal/data/id/resource/library/Blakelaw,2016-09,301
http://datadock.io/kal/data/id/resource/library/Blakelaw,2016-10,292
http://datadock.io/kal/data/id/resource/library/Blakelaw,2016-11,380
http://datadock.io/kal/data/id/resource/library/City,2008-04,4490
http://datadock.io/kal/data/id/resource/library/City,2008-05,4424
http://datadock.io/kal/data/id/resource/library/City,2008-06,4606
http://datadock.io/kal/data/id/resource/library/City,2008-07,5709
http://datadock.io/kal/data/id/resource/library/City,2008-08,4555
http://datadock.io/kal/data/id/resource/library/City,2008-09,4028
http://datadock.io/kal/data/id/resource/library/City,2008-10,3716
http://datadock.io/kal/data/id/resource/library/City,2008-11,3167
http://datadock.io/kal/data/id/resource/library/City,2008-12,2989
http://datadock.io/kal/data/id/resource/library/City,2009-01,5583
http://datadock.io/kal/data/id/resource/library/City,2009-02,2910
http://datadock.io/kal/data/id/resource/library/City,2009-03,3594
http://datadock.io/kal/data/id/resource/library/City,2009-04,1819
http://datadock.io/kal/data/id/resource/library/City,2009-05,1786
http://datadock.io/kal/data/id/resource/library/City,2009-06,43772
http://datadock.io/kal/data/id/resource/library/City,2009-07,56618
http://datadock.io/kal/data/id/resource/library/City,2009-08,56341
http://datadock.io/kal/data/id/resource/library/City,2009-09,52201
http://datadock.io/kal/data/id/resource/library/City,2009-10,54330
http://datadock.io/kal/data/id/resource/library/City,2009-11,44899
http://datadock.io/kal/data/id/resource/library/City,2009-12,41417
http://datadock.io/kal/data/id/resource/library/City,2010-01,47498
http://datadock.io/kal/data/id/resource/library/City,2010-02,44914
http://datadock.io/kal/data/id/resource/library/City,2010-03,51337
http://datadock.io/kal/data/id/resource/library/City,2010-04,46706
http://datadock.io/kal/data/id/resource/library/City,2010-05,41889
http://datadock.io/kal/data/id/resource/library/City,2010-06,42342
http://datadock.io/kal/data/id/resource/library/City,2010-07,48554
http://datadock.io/kal/data/id/resource/library/City,2010-08,47413
http://datadock.io/kal/data/id/resource/library/City,2010-09,45046
http://datadock.io/kal/data/id/resource/library/City,2010-10,47212
http://datadock.io/kal/data/id/resource/library/City,2010-11,37609
http://datadock.io/kal/data/id/resource/library/City,2010-12,37543
http://datadock.io/kal/data/id/resource/library/City,2011-01,39156
http://datadock.io/kal/data/id/resource/library/City,2011-02,39265
http://datadock.io/kal/data/id/resource/library/City,2011-03,40955
http://datadock.io/kal/data/id/resource/library/City,2011-04,33268
http://datadock.io/kal/data/id/resource/library/City,2011-05,37602
http://datadock.io/kal/data/id/resource/library/City,2011-06,38218
http://datadock.io/kal/data/id/resource/library/City,2011-07,38357
http://datadock.io/kal/data/id/resource/library/City,2011-08,39910
http://datadock.io/kal/data/id/resource/library/City,2011-09,35562
http://datadock.io/kal/data/id/resource/library/City,2011-10,39191
http://datadock.io/kal/data/id/resource/library/City,2011-11,32278
http://datadock.io/kal/data/id/resource/library/City,2011-12,28948
http://datadock.io/kal/data/id/resource/library/City,2012-01,34302
http://datadock.io/kal/data/id/resource/library/City,2012-02,33526
http://datadock.io/kal/data/id/resource/library/City,2012-03,34689
http://datadock.io/kal/data/id/resource/library/City,2012-04,32151
http://datadock.io/kal/data/id/resource/library/City,2012-05,32481
http://datadock.io/kal/data/id/resource/library/City,2012-06,30228
http://datadock.io/kal/data/id/resource/library/City,2012-07,32577
http://datadock.io/kal/data/id/resource/library/City,2012-08,32563
http://datadock.io/kal/data/id/resource/library/City,2012-09,29938
http://datadock.io/kal/data/id/resource/library/City,2012-10,32242
http://datadock.io/kal/data/id/resource/library/City,2012-11,28813
http://datadock.io/kal/data/id/resource/library/City,2012-12,23820
http://datadock.io/kal/data/id/resource/library/City,2013-01,30245
http://datadock.io/kal/data/id/resource/library/City,2013-02,26657
http://datadock.io/kal/data/id/resource/library/City,2013-03,27659
http://datadock.io/kal/data/id/resource/library/City,2013-04,29635
http://datadock.io/kal/data/id/resource/library/City,2013-05,31768
http://datadock.io/kal/data/id/resource/library/City,2013-06,28154
http://datadock.io/kal/data/id/resource/library/City,2013-07,33636
http://datadock.io/kal/data/id/resource/library/City,2013-08,32621
http://datadock.io/kal/data/id/resource/library/City,2013-09,27649
http://datadock.io/kal/data/id/resource/library/City,2013-10,30096
