Library,month,enquiries
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-01,805
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-02,1060
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-03,1011
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-04,798
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-05,802
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-06,812
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-07,1066
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-08,929
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-09,836
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-10,1231
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-11,1180
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-12,747
http://datadock.io/kal/data/id/resource/library/Blakelaw,2016-01,787
http://datadock.io/kal/data/id/resource/library/Blakelaw,2016-02,175
http://datadock.io/kal/data/id/resource/library/Blakelaw,2016-03,1032
http://datadock.io/kal/data/id/resource/library/Blakelaw,2016-04,811
http://datadock.io/kal/data/id/resource/library/Blakelaw,2016-05,735
http://datadock.io/kal/data/id/resource/library/Blakelaw,2016-06,752
http://datadock.io/kal/data/id/resource/library/Blakelaw,2016-07,710
http://datadock.io/kal/data/id/resource/library/Blakelaw,2016-08,553
http://datadock.io/kal/data/id/resource/library/Blakelaw,2016-09,1189
http://datadock.io/kal/data/id/resource/library/Blakelaw,2016-10,1452
http://datadock.io/kal/data/id/resource/library/Blakelaw,2016-11,1428
http://datadock.io/kal/data/id/resource/library/City,2008-04,4865
http://datadock.io/kal/data/id/resource/library/City,2008-05,4564
http://datadock.io/kal/data/id/resource/library/City,2008-06,4636
http://datadock.io/kal/data/id/resource/library/City,2008-07,5941
http://datadock.io/kal/data/id/resource/library/City,2008-08,5680
http://datadock.io/kal/data/id/resource/library/City,2008-09,6319
http://datadock.io/kal/data/id/resource/library/City,2008-10,6113
http://datadock.io/kal/data/id/resource/library/City,2008-11,5202
http://datadock.io/kal/data/id/resource/library/City,2008-12,4038
http://datadock.io/kal/data/id/resource/library/City,2009-01,4882
http://datadock.io/kal/data/id/resource/library/City,2009-02,5043
http://datadock.io/kal/data/id/resource/library/City,2009-03,5302
http://datadock.io/kal/data/id/resource/library/City,2009-04,1311
http://datadock.io/kal/data/id/resource/library/City,2009-05,2197
http://datadock.io/kal/data/id/resource/library/City,2009-06,1805
http://datadock.io/kal/data/id/resource/library/City,2009-07,25114
http://datadock.io/kal/data/id/resource/library/City,2009-08,30014
http://datadock.io/kal/data/id/resource/library/City,2009-09,33837
http://datadock.io/kal/data/id/resource/library/City,2009-10,34655
http://datadock.io/kal/data/id/resource/library/City,2009-11,30563
http://datadock.io/kal/data/id/resource/library/City,2009-12,22588
http://datadock.io/kal/data/id/resource/library/City,2010-01,31372
http://datadock.io/kal/data/id/resource/library/City,2010-02,35177
http://datadock.io/kal/data/id/resource/library/City,2010-03,43726
http://datadock.io/kal/data/id/resource/library/City,2010-04,40324
http://datadock.io/kal/data/id/resource/library/City,2010-05,45153
http://datadock.io/kal/data/id/resource/library/City,2010-06,40791
http://datadock.io/kal/data/id/resource/library/City,2010-07,46344
http://datadock.io/kal/data/id/resource/library/City,2010-08,44904
http://datadock.io/kal/data/id/resource/library/City,2010-09,44751
http://datadock.io/kal/data/id/resource/library/City,2010-10,44428
http://datadock.io/kal/data/id/resource/library/City,2010-11,37616
http://datadock.io/kal/data/id/resource/library/City,2010-12,46169
http://datadock.io/kal/data/id/resource/library/City,2011-01,38512
http://datadock.io/kal/data/id/resource/library/City,2011-02,41307
http://datadock.io/kal/data/id/resource/library/City,2011-03,41676
http://datadock.io/kal/data/id/resource/library/City,2011-04,32225
http://datadock.io/kal/data/id/resource/library/City,2011-05,34764
http://datadock.io/kal/data/id/resource/library/City,2011-06,34024
http://datadock.io/kal/data/id/resource/library/City,2011-07,34817
http://datadock.io/kal/data/id/resource/library/City,2011-08,38623
http://datadock.io/kal/data/id/resource/library/City,2011-09,36345
http://datadock.io/kal/data/id/resource/library/City,2011-10,39016
http://datadock.io/kal/data/id/resource/library/City,2011-11,33694
http://datadock.io/kal/data/id/resource/library/City,2011-12,28024
http://datadock.io/kal/data/id/resource/library/City,2012-01,35322
http://datadock.io/kal/data/id/resource/library/City,2012-02,35868
http://datadock.io/kal/data/id/resource/library/City,2012-03,35732
http://datadock.io/kal/data/id/resource/library/City,2012-04,34432
http://datadock.io/kal/data/id/resource/library/City,2012-05,36096
http://datadock.io/kal/data/id/resource/library/City,2012-06,31271
http://datadock.io/kal/data/id/resource/library/City,2012-07,31799
http://datadock.io/kal/data/id/resource/library/City,2012-08,37023
http://datadock.io/kal/data/id/resource/library/City,2012-09,35493
http://datadock.io/kal/data/id/resource/library/City,2012-10,36247
http://datadock.io/kal/data/id/resource/library/City,2012-11,33882
http://datadock.io/kal/data/id/resource/library/City,2012-12,26696
http://datadock.io/kal/data/id/resource/library/City,2013-01,32152
http://datadock.io/kal/data/id/resource/library/City,2013-02,29176
http://datadock.io/kal/data/id/resource/library/City,2013-03,29189
http://datadock.io/kal/data/id/resource/library/City,2013-04,20866
http://datadock.io/kal/data/id/resource/library/City,2013-05,27196
http://datadock.io/kal/data/id/resource/library/City,2013-06,28396
http://datadock.io/kal/data/id/resource/library/City,2013-07,33243
http://datadock.io/kal/data/id/resource/library/City,2013-08,31383
http://datadock.io/kal/data/id/resource/library/City,2013-09,33800
http://datadock.io/kal/data/id/resource/library/City,2013-10,34104
http://datadock.io/kal/data/id/resource/library/City,2013-11,29074
http://datadock.io/kal/data/id/resource/library/City,2013-12,22755
http://datadock.io/kal/data/id/resource/library/City,2014-01,27436
http://datadock.io/kal/data/id/resource/library/City,2014-02,26680
